online_order,book_table,votes,location,rest_type,cuisines,Cost2plates,Type,Is_Success
Yes,No,35,others,Quick Bites,"North Indian, Chinese",250.0,Delivery,0
Yes,No,185,Jayanagar,Quick Bites,others,200.0,Delivery,1
Yes,No,17,Jayanagar,Cafe,"Cafe, Fast Food",900.0,Delivery,0
Yes,No,155,others,Casual Dining,others,400.0,Delivery,1
Yes,No,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,1
Yes,No,286,Basavanagudi,Casual Dining,North Indian,600.0,Delivery,1
Yes,No,160,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery,1
Yes,No,59,Banashankari,Casual Dining,"North Indian, Chinese",750.0,Delivery,1
Yes,No,90,Jayanagar,Casual Dining,others,500.0,Delivery,0
Yes,No,51,others,Quick Bites,others,350.0,Delivery,0
Yes,No,89,Jayanagar,Quick Bites,others,200.0,Delivery,1
Yes,No,18,Banashankari,Quick Bites,others,250.0,Delivery,0
Yes,No,40,Basavanagudi,Casual Dining,others,600.0,Delivery,1
Yes,No,35,Basavanagudi,Quick Bites,Fast Food,200.0,Delivery,0
Yes,No,89,Jayanagar,Quick Bites,others,250.0,Delivery,0
Yes,No,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150.0,Delivery,0
Yes,No,62,Banashankari,others,others,600.0,Delivery,0
Yes,No,33,Jayanagar,Dessert Parlor,Desserts,300.0,Delivery,1
Yes,No,32,Jayanagar,Sweet Shop,others,250.0,Delivery,1
Yes,No,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550.0,Delivery,1
Yes,No,154,others,Quick Bites,Fast Food,300.0,Delivery,0
Yes,No,14,Banashankari,Bakery,"Bakery, Desserts",350.0,Delivery,0
Yes,No,237,Banashankari,Quick Bites,others,200.0,Delivery,0
Yes,No,388,Banashankari,Casual Dining,others,650.0,Delivery,1
Yes,No,0,Jayanagar,Quick Bites,"South Indian, Chinese",300.0,Delivery,1
Yes,No,128,others,Casual Dining,others,500.0,Delivery,1
Yes,Yes,1875,Jayanagar,Casual Dining,others,1200.0,Delivery,1
Yes,No,90,Banashankari,Cafe,Cafe,650.0,Delivery,1
Yes,No,7,others,Quick Bites,others,250.0,Delivery,0
Yes,No,38,others,Casual Dining,"South Indian, North Indian",400.0,Delivery,0
Yes,No,179,Banashankari,Delivery,others,600.0,Delivery,1
Yes,No,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250.0,Delivery,1
Yes,No,275,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,1
Yes,No,323,Jayanagar,Casual Dining,others,850.0,Delivery,0
Yes,No,28,others,Casual Dining,"South Indian, North Indian, Chinese",400.0,Delivery,0
Yes,No,18,Basavanagudi,Quick Bites,others,200.0,Delivery,1
Yes,No,6,Basavanagudi,Quick Bites,others,100.0,Delivery,0
Yes,No,0,Basavanagudi,Dessert Parlor,Beverages,100.0,Delivery,1
Yes,No,322,Jayanagar,Casual Dining,South Indian,400.0,Delivery,1
Yes,No,157,Jayanagar,Cafe,others,450.0,Delivery,0
Yes,No,543,Basavanagudi,Quick Bites,others,300.0,Delivery,1
Yes,No,180,Banashankari,Cafe,others,500.0,Delivery,0
Yes,No,444,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,1
Yes,No,134,Jayanagar,Quick Bites,others,400.0,Delivery,1
Yes,No,577,Jayanagar,Casual Dining,others,900.0,Delivery,1
Yes,No,60,Banashankari,Quick Bites,others,200.0,Delivery,1
Yes,No,144,Jayanagar,Casual Dining,others,550.0,Delivery,1
Yes,No,787,Banashankari,Casual Dining,others,800.0,Delivery,1
Yes,No,16,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,0
Yes,No,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250.0,Delivery,0
Yes,No,95,Banashankari,Quick Bites,others,150.0,Delivery,0
Yes,Yes,349,Banashankari,Casual Dining,others,1200.0,Delivery,1
Yes,No,248,others,Quick Bites,"North Indian, Fast Food",400.0,Delivery,0
Yes,No,216,Basavanagudi,Cafe,others,500.0,Delivery,1
Yes,No,0,others,Casual Dining,Biryani,400.0,Delivery,1
Yes,No,324,Banashankari,Cafe,others,700.0,Delivery,1
Yes,No,231,others,Quick Bites,others,400.0,Delivery,0
Yes,No,102,others,Casual Dining,others,400.0,Delivery,0
Yes,No,133,Banashankari,Cafe,others,800.0,Delivery,1
Yes,No,45,Banashankari,Casual Dining,others,800.0,Delivery,0
Yes,No,149,others,Quick Bites,others,300.0,Delivery,1
Yes,No,75,Banashankari,Quick Bites,others,200.0,Delivery,1
Yes,No,53,others,Delivery,others,600.0,Delivery,1
Yes,Yes,815,Jayanagar,Casual Dining,"North Indian, Chinese",900.0,Delivery,1
Yes,Yes,633,Banashankari,Casual Dining,"North Indian, Chinese",800.0,Delivery,1
Yes,No,56,Jayanagar,Dessert Parlor,others,400.0,Delivery,0
Yes,No,82,Banashankari,Quick Bites,others,300.0,Delivery,0
Yes,No,35,Jayanagar,Quick Bites,Fast Food,200.0,Delivery,0
Yes,No,20,Basavanagudi,Quick Bites,others,150.0,Delivery,0
Yes,No,14,others,Quick Bites,others,250.0,Delivery,0
Yes,No,70,Banashankari,Dessert Parlor,others,400.0,Delivery,1
Yes,No,91,Jayanagar,Cafe,others,300.0,Delivery,1
